"covariateId","covariateName","analysisId","conceptId","covariateValue"
17003,"age group: 85-89",3,0,1.64346137894387
15003,"age group: 75-79",3,0,1.31799101088546
16003,"age group: 80-84",3,0,1.29837725300004
14003,"age group: 70-74",3,0,1.23267801363509
13003,"age group: 65-69",3,0,1.18065434804
12003,"age group: 60-64",3,0,0.69618955831383
6003,"age group: 30-34",3,0,-0.458269157910603
4305080212,"condition_era group during day -30 through -1 days relative to index: Abnormal breathing",212,4305080,0.444867491849111
11003,"age group: 55-59",3,0,0.414852186714785
440069210,"condition_era group during day -365 through -1 days relative to index: Drug dependence",210,440069,0.407918218879194
8507001,"gender = MALE",1,8507,0.391821099632465
4003,"age group: 20-24",3,0,-0.387767736761099
437758210,"condition_era group during day -365 through -1 days relative to index: Dependence on enabling machine or device",210,437758,0.364712570661545
320128210,"condition_era group during day -365 through -1 days relative to index: Essential hypertension",210,320128,0.353442141767528
3003,"age group: 15-19",3,0,-0.343304224996746
201820210,"condition_era group during day -365 through -1 days relative to index: Diabetes mellitus",210,201820,0.332119160787599
5003,"age group: 25-29",3,0,-0.321823746219104
4288734210,"condition_era group during day -365 through -1 days relative to index: Bronchiolar disease",210,4288734,0.313146897433907
708298410,"drug_era group during day -365 through -1 days relative to index: Midazolam",410,708298,0.292363472932871
21604490412,"drug_era group during day -30 through -1 days relative to index: ANTIPSYCHOTICS",412,21604490,0.286717902787297
21601516410,"drug_era group during day -365 through -1 days relative to index: HIGH-CEILING DIURETICS",410,21601516,0.282731528905539
4179670210,"condition_era group during day -365 through -1 days relative to index: Chronic respiratory insufficiency",210,4179670,0.278266899544018
42538830210,"condition_era group during day -365 through -1 days relative to index: Abnormal blood cell count",210,42538830,0.269795838805782
4266367210,"condition_era group during day -365 through -1 days relative to index: Influenza",210,4266367,-0.260118002673894
1549786410,"drug_era group during day -365 through -1 days relative to index: Ethinyl Estradiol",410,1549786,-0.255063558700191
4006969210,"condition_era group during day -365 through -1 days relative to index: Acute respiratory disease",210,4006969,-0.254950063885014
443392212,"condition_era group during day -30 through -1 days relative to index: Malignant neoplastic disease",212,443392,0.251057018148328
21602795410,"drug_era group during day -365 through -1 days relative to index: ANTIINFECTIVES FOR SYSTEMIC USE",410,21602795,-0.250740093563146
1551099412,"drug_era group during day -30 through -1 days relative to index: Prednisone",412,1551099,0.247085808653144
4028876210,"condition_era group during day -365 through -1 days relative to index: Inflammatory disorder of lower respiratory tract",210,4028876,0.234408712302349
321588210,"condition_era group during day -365 through -1 days relative to index: Heart disease",210,321588,0.233195179425631
21603249412,"drug_era group during day -30 through -1 days relative to index: ADRENERGICS, INHALANTS",412,21603249,0.23141124111967
21600959410,"drug_era group during day -365 through -1 days relative to index: BLOOD AND BLOOD FORMING ORGANS",410,21600959,0.214472932451384
438867210,"condition_era group during day -365 through -1 days relative to index: Generalized aches and pains",210,438867,0.213846482660347
4239381210,"condition_era group during day -365 through -1 days relative to index: Psychoactive substance abuse",210,4239381,0.211753937820598
21603177410,"drug_era group during day -365 through -1 days relative to index: Neuraminidase inhibitors",410,21603177,-0.210666294549032
40491439210,"condition_era group during day -365 through -1 days relative to index: Tumor of respiratory system",210,40491439,0.209620733823695
21604421410,"drug_era group during day -365 through -1 days relative to index: Fatty acid derivatives",410,21604421,0.20789343987226
252662212,"condition_era group during day -30 through -1 days relative to index: Tracheobronchial disorder",212,252662,0.205873433583326
79908210,"condition_era group during day -365 through -1 days relative to index: Muscle weakness",210,79908,0.205226854440989
432851210,"condition_era group during day -365 through -1 days relative to index: Secondary malignant neoplastic disease",210,432851,0.203081669662625
4049810210,"condition_era group during day -365 through -1 days relative to index: Inflammatory neuropathy",210,4049810,0.200946848576952
1126658410,"drug_era group during day -365 through -1 days relative to index: Hydromorphone",410,1126658,0.197476131764915
437247210,"condition_era group during day -365 through -1 days relative to index: Anemia of chronic disease",210,437247,0.19670502026044
433316210,"condition_era group during day -365 through -1 days relative to index: Dizziness and giddiness",210,433316,-0.19529698973511
4287399210,"condition_era group during day -365 through -1 days relative to index: Retroperitoneal mass",210,4287399,0.194122886273879
21601744412,"drug_era group during day -30 through -1 days relative to index: CALCIUM CHANNEL BLOCKERS",412,21601744,0.194112621417223
141038210,"condition_era group during day -365 through -1 days relative to index: Diastolic dysfunction",210,141038,-0.188790811692803
432870210,"condition_era group during day -365 through -1 days relative to index: Thrombocytopenic disorder",210,432870,0.184137947619788
440029212,"condition_era group during day -30 through -1 days relative to index: Viral disease",212,440029,0.18326428986438
21603672410,"drug_era group during day -365 through -1 days relative to index: Sympathomimetics in glaucoma therapy",410,21603672,0.178400662694932
4185607210,"condition_era group during day -365 through -1 days relative to index: Embolism",210,4185607,-0.175551799452163
440921212,"condition_era group during day -30 through -1 days relative to index: Traumatic injury",212,440921,0.175458083647314
21604180412,"drug_era group during day -30 through -1 days relative to index: NERVOUS SYSTEM",412,21604180,0.171369561129829
4115408210,"condition_era group during day -365 through -1 days relative to index: Pain of cardiovascular structure",210,4115408,-0.171065504843435
4111017210,"condition_era group during day -365 through -1 days relative to index: Neoplasm of head and neck",210,4111017,0.167874737069498
43021974210,"condition_era group during day -365 through -1 days relative to index: Complication associated with device",210,43021974,0.166390824140647
318459212,"condition_era group during day -30 through -1 days relative to index: Respiratory insufficiency",212,318459,0.165935973025048
